md_usft,incl_deg,azi_deg,tvd_usft,ns_usft,ew_usft,northing_usft,easting_usft,comment
0.0,0.00,0.00,0.0,0.0,0.0,516924.29,559923.82,
100.0,0.00,0.00,100.0,0.0,0.0,516924.29,559923.82,
200.0,0.00,0.00,200.0,0.0,0.0,516924.29,559923.82,
300.0,0.00,0.00,300.0,0.0,0.0,516924.29,559923.82,
400.0,0.00,0.00,400.0,0.0,0.0,516924.29,559923.82,
500.0,0.00,0.00,500.0,0.0,0.0,516924.29,559923.82,
600.0,0.00,0.00,600.0,0.0,0.0,516924.29,559923.82,
700.0,0.00,0.00,700.0,0.0,0.0,516924.29,559923.82,
800.0,0.00,0.00,800.0,0.0,0.0,516924.29,559923.82,
900.0,0.00,0.00,900.0,0.0,0.0,516924.29,559923.82,
1000.0,0.00,0.00,1000.0,0.0,0.0,516924.29,559923.82,
1100.0,2.00,14.19,1100.0,1.7,0.4,516925.98,559924.25,Start Build 2.00
1200.0,4.00,14.19,1199.8,6.8,1.7,516931.06,559925.53,
1300.0,6.00,14.19,1299.5,15.2,3.8,516939.51,559927.67,
1400.0,8.00,14.19,1398.7,27.0,6.8,516951.32,559930.66,
1500.0,10.00,14.19,1497.5,42.2,10.7,516966.49,559934.49,
1600.0,12.00,14.19,1595.6,60.7,15.3,516984.98,559939.17,
1700.0,14.00,14.19,1693.1,82.5,20.9,517006.79,559944.69,
1800.0,16.00,14.19,1789.6,107.6,27.2,517031.88,559951.03,
1827.2,16.54,14.19,1815.8,115.0,29.1,517039.28,559952.90,Start 5548.2 hold at 1827.2 MD
1900.0,16.54,14.19,1885.5,135.1,34.2,517059.37,559957.98,
2000.0,16.54,14.19,1981.4,162.7,41.1,517086.97,559964.97,
2500.0,16.54,14.19,2460.7,300.7,76.1,517225.01,559999.87,
3000.0,16.54,14.19,2940.0,438.7,111.0,517363.04,560034.78,
4000.0,16.54,14.19,3898.6,714.8,180.8,517639.11,560104.60,
5000.0,16.54,14.19,4857.2,990.9,250.6,517915.18,560174.42,
