md_ft,incl_deg,azi_deg,tvd_ft,ns_ft,ew_ft,vs_ft,closure_azi_deg,dls_deg_per_100ft,northing_usft,easting_usft
4392.00,25.40,205.60,3999.59,-1327.86,-564.53,1442.65,203.03,1.36,867832.11,190071.45
4486.00,23.30,203.90,4085.23,-1363.04,-580.78,1481.35,203.08,2.35,867796.93,190055.21
4580.00,21.90,204.90,4172.01,-1395.94,-595.69,1517.44,203.11,1.54,867764.03,190040.30
4674.00,19.50,204.90,4259.93,-1426.08,-609.68,1550.63,203.15,2.55,867733.90,190026.31
4767.00,17.10,204.20,4348.22,-1452.63,-621.82,1579.80,203.17,2.59,867707.34,190014.16
4861.00,14.80,203.90,4438.60,-1476.22,-632.35,1605.61,203.19,2.45,867683.76,190003.63
4955.00,13.00,203.50,4529.84,-1496.89,-641.43,1628.18,203.20,1.92,867663.08,189994.55
5048.00,12.00,201.50,4620.64,-1515.48,-649.15,1648.30,203.19,1.17,867644.49,189986.84
5141.00,10.90,204.40,4711.79,-1532.48,-656.32,1666.76,203.18,1.33,867627.49,189979.66
5235.00,10.10,203.12,4804.21,-1548.16,-663.23,1683.88,203.19,0.89,867611.82,189972.75
5431.00,11.80,203.12,4996.64,-1582.40,-677.85,1721.10,203.19,0.87,867577.58,189958.14
