md_ft,incl_deg,azi_deg,tvd_ft,vs_ft,ns_ft,ew_ft,closure_ft,closure_azi_deg,dls_deg_per_100ft,comment
3961.0,63.7,92.4,3598.88,764.05,-51.84,769.36,771.1,93.86,0.0,Pilot Tie-In
3986.0,73.2,94.2,3608.05,787.09,-53.19,792.54,794.33,93.84,38.58,
4026.0,91.9,96.9,3613.22,826.03,-57.03,831.84,833.79,93.92,47.22,
4057.0,98.7,98.4,3610.35,856.26,-61.14,862.41,864.58,94.05,22.46,
4088.0,96.5,93.2,3606.25,886.53,-64.24,892.97,895.28,94.11,18.08,
4120.0,90.8,88.0,3604.21,918.35,-64.57,924.88,927.13,93.99,24.08,
4150.0,85.8,86.0,3605.1,948.32,-63.0,954.81,956.89,93.77,17.95,
4181.0,85.6,84.8,3607.43,979.23,-60.52,985.63,987.48,93.51,3.91,
4214.0,85.7,84.1,3609.93,1012.12,-57.34,1018.38,1019.99,93.22,2.14,
4245.0,85.4,83.6,3612.34,1043.0,-54.03,1049.11,1050.5,92.95,1.88,
4276.0,86.2,83.8,3614.61,1073.89,-50.63,1079.84,1081.02,92.68,2.66,
4307.0,88.6,84.8,3616.01,1104.84,-47.56,1110.65,1111.67,92.45,8.39,
4339.0,91.7,82.4,3615.93,1136.8,-43.99,1142.44,1143.29,92.21,12.25,
4370.0,92.2,81.9,3614.87,1167.71,-39.76,1173.13,1173.81,91.94,2.28,
4402.0,91.6,82.7,3613.81,1199.62,-35.47,1204.83,1205.35,91.69,3.12,
4432.0,90.9,85.1,3613.16,1229.59,-32.29,1234.65,1235.07,91.5,8.33,
4464.0,91.2,85.0,3612.57,1261.58,-29.53,1266.52,1266.87,91.34,0.99,
4495.0,90.1,85.2,3612.22,1292.57,-26.88,1297.41,1297.69,91.19,3.61,
4527.0,91.6,85.6,3611.75,1324.57,-24.31,1329.3,1329.52,91.05,4.85,
4559.0,89.5,85.4,3611.44,1356.56,-21.8,1361.2,1361.37,90.92,6.59,
4590.0,89.4,85.4,3611.74,1387.56,-19.32,1392.1,1392.23,90.8,0.32,
4622.0,89.4,85.7,3612.07,1419.56,-16.83,1424.0,1424.1,90.68,0.94,
4653.0,89.5,85.7,3612.37,1450.55,-14.51,1454.91,1454.98,90.57,0.32,
4685.0,89.6,85.4,3612.62,1482.55,-12.03,1486.81,1486.86,90.46,0.66,DLS OCR uncertain; interpreted 0.66 from 66*
4717.0,89.8,85.3,3612.79,1514.55,-9.43,1518.71,1518.74,90.36,0.7,
4748.0,89.9,85.5,3612.87,1545.55,-6.95,1549.61,1549.62,90.26,0.72,
4780.0,89.9,84.9,3612.93,1577.54,-4.27,1581.49,1581.5,90.15,1.87,
4811.0,89.5,84.5,3613.09,1608.53,-1.41,1612.36,1612.36,90.05,1.82,
4843.0,89.3,83.7,3613.42,1640.51,1.88,1644.19,1644.19,89.93,2.58,
4874.0,89.0,83.8,3613.88,1671.48,5.26,1675.0,1675.01,89.82,1.02,
4906.0,88.6,83.6,3614.55,1703.45,8.77,1706.8,1706.82,89.71,1.4,
4938.0,88.9,83.3,3615.25,1735.4,12.42,1738.59,1738.63,89.59,1.33,
4970.0,90.9,84.8,3615.31,1767.38,15.73,1770.41,1770.48,89.49,7.81,
5001.0,91.0,84.2,3614.79,1798.36,18.71,1801.26,1801.36,89.41,1.96,
5032.0,91.0,84.3,3614.25,1829.34,21.81,1832.1,1832.23,89.32,0.32,
5063.0,90.8,83.7,3613.77,1860.32,25.05,1862.93,1863.1,89.23,2.04,
5093.0,90.7,84.1,3613.37,1890.29,28.24,1892.76,1892.97,89.15,1.37,
5124.0,90.8,83.9,3612.97,1921.27,31.48,1923.58,1923.84,89.06,0.72,
5156.0,90.9,84.0,3612.49,1953.24,34.85,1955.4,1955.71,88.98,0.44,
5188.0,91.1,84.3,3611.93,1985.22,38.11,1987.23,1987.6,88.9,1.13,
5219.0,91.4,84.1,3611.26,2016.2,41.24,2018.06,2018.49,88.83,1.16,
5251.0,91.5,83.5,3610.45,2048.16,44.7,2049.87,2050.35,88.75,1.9,
5282.0,91.5,83.4,3609.64,2079.12,48.23,2080.65,2081.21,88.67,0.32,
5313.0,90.1,84.1,3609.2,2110.09,51.61,2111.47,2112.1,88.6,5.05,
5345.0,90.1,83.9,3609.15,2142.06,54.95,2143.29,2143.99,88.53,0.62,
5375.0,90.2,83.9,3609.07,2172.04,58.14,2173.12,2173.9,88.47,0.33,
5407.0,90.7,84.1,3608.82,2204.02,61.49,2204.94,2205.8,88.4,1.68,
5439.0,89.9,83.5,3608.65,2235.99,64.94,2236.76,2237.7,88.34,3.12,
5470.0,90.1,83.3,3608.65,2266.96,68.5,2267.55,2268.58,88.27,0.91,
5500.0,89.9,83.5,3608.65,2296.93,71.95,2297.35,2298.48,88.21,0.94,
5532.0,89.7,82.7,3608.76,2328.88,75.8,2329.12,2330.35,88.14,2.58,
5563.0,89.7,82.8,3608.92,2359.83,79.71,2359.87,2361.22,88.07,0.32,
5595.0,89.4,82.3,3609.18,2391.77,83.86,2391.6,2393.07,87.99,1.82,
5626.0,89.5,82.1,3609.47,2422.69,88.07,2422.31,2423.91,87.92,0.72,
5657.0,89.4,81.6,3609.77,2453.61,92.46,2453.0,2454.74,87.84,1.64,
5689.0,89.4,81.7,3610.11,2485.51,97.11,2484.66,2486.55,87.76,0.31,
5721.0,89.6,82.7,3610.38,2517.43,101.45,2516.36,2518.4,87.69,3.19,
5751.0,89.9,82.0,3610.52,2547.37,105.44,2546.09,2548.27,87.63,2.54,
5783.0,89.9,81.6,3610.57,2579.28,110.01,2577.76,2580.11,87.56,1.25,
5814.0,89.9,81.4,3610.63,2610.18,114.59,2608.42,2610.94,87.48,0.65,
5846.0,90.6,82.5,3610.49,2642.09,119.07,2640.11,2642.79,87.42,4.07,
5877.0,91.0,82.8,3610.05,2673.03,123.04,2670.85,2673.68,87.36,1.61,
5908.0,90.9,81.9,3609.54,2703.96,127.16,2701.57,2704.56,87.31,2.92,
5940.0,91.1,82.2,3608.98,2735.88,131.59,2733.26,2736.42,87.24,1.13,
5972.0,91.1,81.3,3608.37,2767.78,136.18,2764.92,2768.27,87.18,2.81,
6003.0,91.3,82.0,3607.72,2798.68,140.68,2795.58,2799.12,87.12,2.35,
6034.0,91.4,82.0,3606.99,2829.59,144.99,2826.27,2829.99,87.06,0.32,
6066.0,91.6,81.1,3606.15,2861.48,149.69,2857.91,2861.83,87.0,2.88,
6097.0,90.2,82.4,3605.66,2892.38,154.14,2888.59,2892.7,86.95,6.16,
6128.0,90.4,82.6,3605.5,2923.32,158.19,2919.32,2923.61,86.9,0.91,
6160.0,89.6,82.2,3605.5,2955.25,162.42,2951.04,2955.51,86.85,2.8,
6191.0,89.8,81.8,3605.66,2986.17,166.73,2981.74,2986.4,86.8,1.44,
