md_ft,incl_deg,azi_deg,comment
3961.0,63.7,92.4,Pilot Tie-In
3986.0,73.2,94.2,
4026.0,91.9,96.9,
4057.0,98.7,98.4,
4088.0,96.5,93.2,
4120.0,90.8,88.0,
4150.0,85.8,86.0,
4181.0,85.6,84.8,
4214.0,85.7,84.1,
4245.0,85.4,83.6,
4276.0,86.2,83.8,
4307.0,88.6,84.8,
4339.0,91.7,82.4,
4370.0,92.2,81.9,
4402.0,91.6,82.7,
4432.0,90.9,85.1,
4464.0,91.2,85.0,
4495.0,90.1,85.2,
4527.0,91.6,85.6,
4559.0,89.5,85.4,
4590.0,89.4,85.4,
4622.0,89.4,85.7,
4653.0,89.5,85.7,
4685.0,89.6,85.4,DLS OCR uncertain; interpreted 0.66 from 66*
4717.0,89.8,85.3,
4748.0,89.9,85.5,
4780.0,89.9,84.9,
4811.0,89.5,84.5,
4843.0,89.3,83.7,
4874.0,89.0,83.8,
4906.0,88.6,83.6,
4938.0,88.9,83.3,
4970.0,90.9,84.8,
5001.0,91.0,84.2,
5032.0,91.0,84.3,
5063.0,90.8,83.7,
5093.0,90.7,84.1,
5124.0,90.8,83.9,
5156.0,90.9,84.0,
5188.0,91.1,84.3,
5219.0,91.4,84.1,
5251.0,91.5,83.5,
5282.0,91.5,83.4,
5313.0,90.1,84.1,
5345.0,90.1,83.9,
5375.0,90.2,83.9,
5407.0,90.7,84.1,
5439.0,89.9,83.5,
5470.0,90.1,83.3,
5500.0,89.9,83.5,
5532.0,89.7,82.7,
5563.0,89.7,82.8,
5595.0,89.4,82.3,
5626.0,89.5,82.1,
5657.0,89.4,81.6,
5689.0,89.4,81.7,
5721.0,89.6,82.7,
5751.0,89.9,82.0,
5783.0,89.9,81.6,
5814.0,89.9,81.4,
5846.0,90.6,82.5,
5877.0,91.0,82.8,
5908.0,90.9,81.9,
5940.0,91.1,82.2,
5972.0,91.1,81.3,
6003.0,91.3,82.0,
6034.0,91.4,82.0,
6066.0,91.6,81.1,
6097.0,90.2,82.4,
6128.0,90.4,82.6,
6160.0,89.6,82.2,
6191.0,89.8,81.8,
6223.0,90.1,82.0,
6254.0,90.6,81.8,
6286.0,90.8,82.0,
6317.0,91.0,81.3,
6349.0,90.9,81.1,
6380.0,89.8,81.4,
6411.0,90.4,81.5,Last Nevis MWD Survey
6460.0,90.0,81.5,Survey Projection to TD
