md_ft,incl_deg,azi_deg,tvd_ft,ns_ft,ew_ft,vs_ft,dls_deg_per_100ft,comment
445.0,0.0,0.0,445.0,0.0,0.0,0.0,0.0,
488.0,1.4,235.5,488.0,-0.3,-0.43,0.18,3.26,
519.0,3.0,211.6,518.97,-1.2,-1.17,0.87,5.84,
551.0,5.5,206.3,550.88,-3.29,-2.29,2.6,7.9,
582.0,6.8,201.2,581.7,-6.33,-3.61,5.21,4.54,
614.0,9.3,197.9,613.39,-10.56,-5.09,8.92,7.94,
645.0,12.1,196.3,643.84,-16.07,-6.77,13.82,9.08,
702.0,17.5,186.6,698.94,-30.33,-9.44,26.94,10.39,
733.0,19.5,181.0,728.34,-40.13,-10.06,36.26,8.62,
764.0,21.8,174.5,757.35,-51.04,-9.6,46.93,10.46,
795.0,24.5,169.0,785.85,-63.08,-7.82,59.03,11.15,
827.0,28.0,166.1,814.55,-76.89,-4.75,73.17,11.65,
889.0,32.8,163.9,868.01,-107.17,3.41,104.53,7.95,
920.0,33.0,164.3,894.04,-123.36,8.02,121.36,0.95,
982.0,33.3,164.5,945.95,-156.02,17.14,155.26,0.52,
1075.0,34.5,163.4,1023.14,-205.86,31.48,207.11,1.45,
1137.0,35.2,163.1,1074.02,-239.79,41.7,242.52,1.16,
1203.0,35.8,162.2,1127.75,-276.37,53.13,280.8,1.21,
1294.0,36.9,164.8,1201.05,-328.08,68.43,334.7,2.08,
1357.0,34.8,165.3,1252.11,-363.72,77.95,371.6,3.37,
1419.0,33.7,165.0,1303.36,-397.45,86.89,406.49,1.79,
1482.0,34.4,165.3,1355.56,-431.55,95.93,441.76,1.14,
1594.0,34.9,166.9,1447.69,-493.36,111.22,505.43,0.93,
1718.0,34.9,166.9,1549.39,-562.46,127.3,576.35,0.0,
1848.0,33.56,166.32,1656.87,-633.6,144.23,649.46,1.06,Plug Back Interpolated Point
2591.0,26.0,162.0,2301.34,-988.61,243.29,1017.98,1.06,
