md_ft,incl_deg,azi_deg,comment
445.0,0.0,0.0,
488.0,1.4,235.5,
519.0,3.0,211.6,
551.0,5.5,206.3,
582.0,6.8,201.2,
614.0,9.3,197.9,
645.0,12.1,196.3,
702.0,17.5,186.6,
733.0,19.5,181.0,
764.0,21.8,174.5,
795.0,24.5,169.0,
827.0,28.0,166.1,
889.0,32.8,163.9,
920.0,33.0,164.3,
982.0,33.3,164.5,
1075.0,34.5,163.4,
1137.0,35.2,163.1,
1203.0,35.8,162.2,
1294.0,36.9,164.8,
1357.0,34.8,165.3,
1419.0,33.7,165.0,
1482.0,34.4,165.3,
1594.0,34.9,166.9,
1718.0,34.9,166.9,
1848.0,33.56,166.32,Plug Back Interpolated Point
2591.0,26.0,162.0,
