Survey Name,DS_0494431_00-07-30-026-17W4-0.csv,,,,,,,,
Final Survey,Y,,,,,,,,
Well Licensee,Mainland Oil,,,,,,,,
Survey Company,Maine Drilling,,,,,,,,
Licence Number,494431,,,,,,,,
Well Name,N40 Hz Messford 7-30-26-17W4,,,,,,,,
Slanted Drilling,Y or N,,,,,,,,
DLS Surface Hole Location,07-29-026-17W4,,,,,,,,
NAD 83 Surface Lat,51.247014,,,,,,,,
NAD 83 Surface Long,-112.365038,,,,,,,,
Ground Level Elevation,870.22,,,,,,,,
Kelly Bushing Elevation,874.62,,,,,,,,
UWI (D59:at the time of submission),00/07-30-026-17W4/00,,,,,,,,
Final Survey Date (YYYY-MM-DD),2021-10-06,,,,,,,,
North Reference,TRUE,,,,,,,,
Universal Transverse Mercator Zone,11N or 12N,,,,,,,,
Survey Calculation Method,Minimum Curvature,,,,,,,,
Units of Measurement,Meters & Degrees,,,,,,,,
Convergence Angle,0.33,,,,,,,,
Magnetic Model,HDGM_FILE,,,,,,,,
Magnetic Model Date (YYYY-MM-DD),2019-04-01,,,,,,,,
Vertical Section Azimuth,273.95,,,,,,,,
Declination,13.11,,,,,,,,
,,,,,,,,,
MD,Inclination,Azimuth,True Vertical Depth (TVD),TVDSS,Vert Sect,N+/S-,E+/W-,Survey Tool,Annotations
[m],[°] or deg,[°] or deg,[m],[m],[m],[m],[m],Type,
0,0,0,0,839.92,0,0,0,Gyro,    
38.51,0.3,320.33,38.51,801.41,38.51,0.08,-0.06,Gyro,
47.73,0.38,333.08,47.73,792.19,47.73,0.13,-0.09,Gyro,    
57.18,0.35,359.32,57.18,782.74,57.18,0.19,-0.1,Gyro,    
66.64,0.2,0.24,66.64,773.28,66.64,0.23,-0.1,Gyro,    
76.55,0.39,338.44,76.55,763.37,76.55,0.28,-0.11,Gyro,    
95.23,0.19,346,95.23,744.69,95.23,0.37,-0.14,Gyro,    
113.85,0.35,2.61,113.85,726.07,113.85,0.46,-0.14,Gyro,    
132.49,0.39,11.97,132.49,707.43,132.49,0.58,-0.12,Gyro,    
151.19,0.47,6.92,151.19,688.73,151.19,0.71,-0.09,Gyro,
169.99,0.26,7.49,169.99,669.93,169.99,0.83,-0.07,Gyro,    
188.65,0.44,9.29,188.65,651.27,188.65,0.94,-0.05,Gyro,    
207.16,0.43,0.55,207.16,632.76,207.16,1.08,-0.03,Gyro,    
225.65,0.26,12.28,225.65,614.27,225.65,1.19,-0.01,Gyro,    
244.27,0.26,25.51,244.27,595.65,244.27,1.27,0.02,Gyro,    
262.96,0.39,30.17,262.96,576.96,262.96,1.36,0.07,Gyro,    
281.5,0.43,6.39,281.5,558.42,281.5,1.48,0.12,Gyro,    
300.05,0.55,13.69,300.04,539.88,300.04,1.64,0.15,Gyro,    
318.67,0.36,356.59,318.66,521.26,318.66,1.78,0.17,Gyro,    
337.26,0.78,352.42,337.25,502.67,337.25,1.97,0.16,Gyro,    
355.88,0.95,13.43,355.87,484.05,355.87,2.24,0.19,Gyro,    
374.38,1.01,8.41,374.37,465.55,374.37,2.55,0.27,Gyro,    
392.98,0.85,0.72,392.97,446.95,392.97,2.85,0.3,Gyro,    
409,0.64,354.97,408.98,430.94,408.98,3.05,0.31,Gyro,    
427,1,0.66,426.98,412.94,426.98,3.31,0.31,Gyro,Surf. Csg. = 427 m KB
431.94,1.1,1.57,431.92,408,431.92,3.4,0.32,Gyro,    
450.64,0.93,0.9,450.62,389.3,450.62,3.73,0.34,Gyro,    
469.44,0.43,213.31,469.42,370.5,469.42,3.83,0.31,Gyro,    
488.1,0.43,192.39,488.08,351.84,488.08,3.7,0.25,Gyro,    
506.61,0.19,350.57,506.59,333.33,506.59,3.67,0.22,Gyro,    
525.1,0.26,26.74,525.08,314.84,525.08,3.73,0.24,Gyro,    
543.72,0.36,353.08,543.7,296.22,543.7,3.83,0.26,Gyro,    
562.41,0.64,357.69,562.39,277.53,562.39,3.99,0.25,Gyro,    
580.95,0.7,0.72,580.93,258.99,580.93,4.21,0.26,Gyro,    
599.5,0.73,350.26,599.47,240.45,599.47,4.44,0.25,Gyro,
618.12,0.71,7.32,618.09,221.83,618.09,4.67,0.26,Gyro,    
636.71,0.52,212.57,636.68,203.24,636.68,4.71,0.23,Gyro,    
655.33,0.81,197.49,655.3,184.62,655.3,4.52,0.13,Gyro,    
673.83,0.35,274.8,673.8,166.12,673.8,4.41,0.03,Gyro,    
692.43,0.15,11.4,692.4,147.52,692.4,4.44,-0.02,Gyro,    
711.06,0.64,39.53,711.03,128.89,711.03,4.54,0.06,Gyro,    
729.8,0.6,54.08,729.77,110.15,729.77,4.67,0.21,Gyro,    
749.2,0.38,206.02,749.17,90.75,749.17,4.67,0.26,Gyro,    
768.57,0.58,204.04,768.54,71.38,768.54,4.52,0.19,Gyro,    
787.95,0.19,60.8,787.92,52,787.92,4.45,0.17,Gyro,    
807.36,0.23,38.21,807.33,32.59,807.33,4.5,0.23,Gyro,    
826.73,0.32,26.48,826.7,13.22,826.7,4.57,0.28,Gyro,    
846.13,0.43,76.23,846.1,-6.18,846.1,4.63,0.38,Gyro,    
865.51,0.64,52.41,865.48,-25.56,865.48,4.71,0.54,Gyro,    
884.89,0.7,62.87,884.85,-44.93,884.85,4.82,0.73,Gyro,    
904.28,0.66,205.58,904.24,-64.32,904.24,4.77,0.79,Gyro,    
923.69,0.28,180.39,923.65,-83.73,923.65,4.63,0.73,Gyro,    
943.09,0.17,48.28,943.05,-103.13,943.05,4.6,0.75,Gyro,    
962.48,0.7,351.1,962.44,-122.52,962.44,4.73,0.76,Gyro,    
981.84,0.59,202.85,981.8,-141.88,981.8,4.76,0.71,Gyro,    
